emp_no,birth_date,first_name,last_name,gender,hire_date,emp_no,dept_no,from_date,to_date,emp_no,salary,from_date,to_date,dept_no,dept_name
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16,10196,d002,1999-01-31,9999-01-01,10196,86671,1999-01-31,2000-01-31,d002,Finance
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16,10196,d002,1999-01-31,9999-01-01,10196,87374,2000-01-31,2001-01-30,d002,Finance
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16,10196,d002,1999-01-31,9999-01-01,10196,91527,2001-01-30,2002-01-30,d002,Finance
10196,1954-01-27,Marc,Hellwagner,M,1994-11-16,10196,d002,1999-01-31,9999-01-01,10196,92885,2002-01-30,9999-01-01,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,62080,1994-11-22,1995-11-22,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,64543,1995-11-22,1996-11-21,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,64205,1996-11-21,1997-11-21,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,66422,1997-11-21,1998-11-21,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,66338,1998-11-21,1999-11-21,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,70567,1999-11-21,2000-11-20,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,70970,2000-11-20,2001-11-20,d002,Finance
10209,1956-12-12,Yolla,Ellozy,F,1991-11-23,10209,d002,1991-11-23,1999-08-07,10209,70667,2001-11-20,9999-01-01,d002,Finance
10220,1958-05-25,Kish,Fasbender,F,1992-06-25,10220,d002,1997-09-16,9999-01-01,10220,63155,1998-09-16,1999-09-16,d002,Finance
10220,1958-05-25,Kish,Fasbender,F,1992-06-25,10220,d002,1997-09-16,9999-01-01,10220,65799,1999-09-16,2000-09-15,d002,Finance
10220,1958-05-25,Kish,Fasbender,F,1992-06-25,10220,d002,1997-09-16,9999-01-01,10220,67288,2000-09-15,2001-09-15,d002,Finance
10220,1958-05-25,Kish,Fasbender,F,1992-06-25,10220,d002,1997-09-16,9999-01-01,10220,69036,2001-09-15,9999-01-01,d002,Finance
10241,1958-07-01,Ortrud,Murillo,M,1988-06-12,10241,d002,1988-06-12,9999-01-01,10241,60341,2000-06-09,2001-06-09,d002,Finance
10241,1958-07-01,Ortrud,Murillo,M,1988-06-12,10241,d002,1988-06-12,9999-01-01,10241,64804,2001-06-09,2002-06-09,d002,Finance
10241,1958-07-01,Ortrud,Murillo,M,1988-06-12,10241,d002,1988-06-12,9999-01-01,10241,65069,2002-06-09,9999-01-01,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,67883,1996-12-21,1997-12-21,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,68147,1997-12-21,1998-12-21,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,70813,1998-12-21,1999-12-21,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,72959,1999-12-21,2000-12-20,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,73966,2000-12-20,2001-12-20,d002,Finance
10263,1961-02-08,Takahiro,Waterhouse,M,1994-02-05,10263,d002,1996-12-21,9999-01-01,10263,73625,2001-12-20,9999-01-01,d002,Finance
10272,1954-11-30,Yishai,Cannane,M,1988-05-23,10272,d002,1997-10-23,9999-01-01,10272,61158,1999-10-23,2000-10-22,d002,Finance
10272,1954-11-30,Yishai,Cannane,M,1988-05-23,10272,d002,1997-10-23,9999-01-01,10272,63802,2000-10-22,2001-10-22,d002,Finance
10272,1954-11-30,Yishai,Cannane,M,1988-05-23,10272,d002,1997-10-23,9999-01-01,10272,67888,2001-10-22,9999-01-01,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,60708,1996-05-21,1997-05-21,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,60971,1997-05-21,1998-05-21,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,63114,1998-05-21,1999-05-21,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,64793,1999-05-21,2000-05-20,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,67672,2000-05-20,2001-05-20,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,69946,2001-05-20,2002-05-20,d002,Finance
10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,10301,d002,1988-05-23,9999-01-01,10301,72396,2002-05-20,9999-01-01,d002,Finance
10354,1961-04-21,Moto,Kusakari,M,1996-03-26,10354,d002,1999-03-03,2000-03-03,10354,60762,1999-03-03,2000-03-02,d002,Finance
10354,1961-04-21,Moto,Kusakari,M,1996-03-26,10354,d002,1999-03-03,2000-03-03,10354,64174,2000-03-02,2001-03-02,d002,Finance
10354,1961-04-21,Moto,Kusakari,M,1996-03-26,10354,d002,1999-03-03,2000-03-03,10354,63691,2001-03-02,2002-01-01,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,83609,1991-09-13,1992-09-12,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,86167,1992-09-12,1993-09-12,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,86271,1993-09-12,1994-09-12,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,89227,1994-09-12,1995-09-12,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,92915,1995-09-12,1996-09-11,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,94711,1996-09-11,1997-09-11,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,96381,1997-09-11,1998-09-11,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,98955,1998-09-11,1999-09-11,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,100526,1999-09-11,2000-09-10,d002,Finance
10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,10403,d002,1991-09-13,1995-03-07,10403,101791,2000-09-10,2001-06-15,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,68993,1989-03-24,1990-03-24,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,73294,1990-03-24,1991-03-24,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,76148,1991-03-24,1992-03-23,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,76652,1992-03-23,1993-03-23,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,80245,1993-03-23,1994-03-23,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,81961,1994-03-23,1995-03-23,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,83050,1995-03-23,1996-03-22,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,83909,1996-03-22,1997-03-22,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,84677,1997-03-22,1998-03-22,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,88492,1998-03-22,1999-03-22,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,89080,1999-03-22,2000-03-21,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,91969,2000-03-21,2001-03-21,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,96276,2001-03-21,2002-03-21,d002,Finance
10416,1956-05-26,Uli,Keustermans,M,1989-03-24,10416,d002,1989-03-24,9999-01-01,10416,99825,2002-03-21,9999-01-01,d002,Finance
10456,1963-01-24,Stepehn,Hardjono,F,1995-12-25,10456,d002,2000-01-06,9999-01-01,10456,60887,2002-01-05,9999-01-01,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,86392,1991-04-02,1992-04-01,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,86680,1992-04-01,1993-04-01,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,87896,1993-04-01,1994-04-01,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,91107,1994-04-01,1995-04-01,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,93189,1995-04-01,1996-03-31,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,97107,1996-03-31,1997-03-31,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,97250,1997-03-31,1998-03-31,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,96779,1998-03-31,1999-03-31,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,100751,1999-03-31,2000-03-30,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,102025,2000-03-30,2001-03-30,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,102671,2001-03-30,2002-03-30,d002,Finance
10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,10513,d002,1991-04-02,9999-01-01,10513,105199,2002-03-30,9999-01-01,d002,Finance
10543,1962-10-06,Lein,Lichtman,M,1998-10-16,10543,d002,1998-11-24,9999-01-01,10543,86526,1998-11-24,1999-11-24,d002,Finance
